2020-10-28 14:22:11.162 [main] INFO  com.web.repository.ReimbursementDao - Failed to find reimbursements by author
2020-10-28 14:22:11.179 [main] INFO  com.web.repository.UserDao - Failed to find user by username and passwordjava.sql.SQLException: The url cannot be null
2020-10-28 14:26:59.056 [main] INFO  com.web.repository.ReimbursementDao - Failed to find reimbursements by author
2020-10-28 14:26:59.067 [main] INFO  com.web.repository.UserDao - Failed to find user by username and passwordjava.sql.SQLException: The url cannot be null
2020-10-28 14:32:05.139 [main] INFO  com.web.repository.ReimbursementDao - Failed to find reimbursements by author
2020-10-28 14:32:05.150 [main] INFO  com.web.repository.UserDao - Failed to find user by username and passwordjava.sql.SQLException: The url cannot be null
2020-10-28 14:36:35.183 [main] INFO  com.web.repository.ReimbursementDao - Failed to find reimbursements by author
2020-10-28 14:36:35.199 [main] INFO  com.web.repository.UserDao - Failed to find user by username and passwordjava.sql.SQLException: The url cannot be null
2020-10-28 14:41:43.704 [main] INFO  com.web.repository.ReimbursementDao - Failed to find reimbursements by author
2020-10-28 14:41:43.714 [main] INFO  com.web.repository.UserDao - Failed to find user by username and passwordjava.sql.SQLException: The url cannot be null
2020-10-28 14:44:35.957 [main] INFO  com.web.repository.ReimbursementDao - Failed to find reimbursements by author
2020-10-28 14:44:35.974 [main] INFO  com.web.repository.UserDao - Failed to find user by username and passwordjava.sql.SQLException: The url cannot be null
